exp_flood,exp_disas,prior_cc,prior_slr,pol_party,pol_ideol,age,educ,children,income,t,cost,wtp,purchase,sit_worry,sit_prepare,glob_finan,glob_safe,female,minority,university,unemployed,married,standalone,coastal,t0,t1,t2,t3
0,0,4,4,4,4,45,6,0,37500,Treatment 1,29,50,1,4,4,4,4,0,0,1,0,0,0,1,0,1,0,0
0,1,5,5,2,3,45,6,0,62500,Treatment 1,30,35,1,4,5,4,5,0,1,1,0,0,0,0,0,1,0,0
0,1,5,5,1,1,45,3,0,62500,Treatment 2a,125,125,1,5,5,4,4,0,1,0,0,0,0,1,0,0,1,0
1,1,5,4,7,6,25,6,0,37500,Treatment 2a,90,84,1,4,5,4,5,0,0,1,0,0,0,0,0,0,1,0
0,0,4,4,2,6,35,6,3,87500,Treatment 2a,78,64,1,3,4,4,4,0,0,1,0,1,0,1,0,0,1,0
0,0,5,5,1,1,25,6,0,37500,Treatment 2a,100,110,1,4,4,4,4,0,0,1,0,0,0,0,0,0,1,0
0,1,5,5,1,1,35,6,0,87500,Treatment 2b,50,4,1,1,5,4,1,1,1,1,0,0,0,1,0,0,0,1
0,1,5,5,4,1,25,3,0,37500,Treatment 2b,125,125,1,5,5,5,5,1,0,0,0,0,0,0,0,0,0,1
0,0,2,2,6,3,25,7,1,37500,Treatment 2a,58,0,0,3,2,2,2,0,0,1,0,0,0,1,0,0,1,0
1,0,4,3,1,4,25,6,1,12500,Treatment 2a,96,101,1,4,4,5,4,0,0,1,0,1,0,0,0,0,1,0
1,1,4,4,2,2,35,3,0,37500,Treatment 1,85,100,1,4,4,4,4,1,1,0,0,0,0,1,0,1,0,0
1,1,4,3,2,4,35,3,0,62500,Control,79,101,1,3,3,2,4,1,0,0,0,1,0,0,1,0,0,0
0,0,5,5,1,2,25,6,0,12500,Treatment 2a,100,20,1,4,4,5,5,1,0,1,0,0,0,1,0,0,1,0
0,1,3,4,4,4,35,3,1,62500,Control,50,30,1,4,3,4,4,0,0,0,0,1,0,1,1,0,0,0
0,0,4,4,4,4,45,3,0,37500,Treatment 1,12,18,1,3,4,4,4,0,0,0,0,0,0,1,0,1,0,0
0,0,4,4,6,5,55,6,1,62500,Control,60,60,1,5,5,5,5,0,1,1,0,1,1,1,1,0,0,0
0,0,5,4,2,4,65,3,2,62500,Treatment 1,60,60,1,4,5,5,5,1,0,0,0,0,1,1,0,1,0,0
0,0,4,4,2,3,35,7,0,62500,Treatment 2a,80,100,1,4,4,5,5,0,0,1,0,0,0,0,0,0,1,0
1,1,4,4,4,4,25,4,0,37500,Treatment 1,70,50,1,4,4,4,3,0,0,0,0,0,0,0,0,1,0,0
0,1,4,3,4,3,25,6,0,62500,Control,100,100,1,4,5,5,4,0,1,1,0,0,0,0,1,0,0,0
0,0,4,4,2,2,25,3,0,12500,Treatment 1,30,50,1,4,4,5,4,0,1,0,0,0,0,1,0,1,0,0
0,1,1,1,7,7,35,3,1,87500,Treatment 2a,51,25,1,4,4,5,4,0,0,0,0,1,1,0,0,0,1,0
0,0,5,5,1,2,25,6,0,150000,Treatment 2b,100,80,1,5,5,5,5,1,0,1,0,0,1,1,0,0,0,1
0,1,3,4,7,6,25,6,0,87500,Treatment 2b,70,51,1,3,3,5,4,1,0,1,0,0,0,1,0,0,0,1
1,0,4,4,2,3,25,3,1,62500,Control,100,50,1,2,5,3,4,0,1,0,0,1,0,0,1,0,0,0
0,0,5,5,2,2,25,6,0,62500,Treatment 1,75,50,1,4,4,5,5,1,0,1,0,0,0,1,0,1,0,0
0,1,4,4,6,5,45,3,0,62500,Treatment 2b,125,125,1,5,5,5,5,1,0,0,0,1,1,1,0,0,0,1
0,1,4,4,6,5,55,6,0,12500,Treatment 2a,50,35,1,4,4,5,4,1,0,1,0,0,0,1,0,0,1,0
0,0,1,1,5,7,35,6,0,12500,Treatment 2b,125,86,1,5,5,5,5,0,0,1,0,0,0,0,0,0,0,1
1,1,4,5,3,4,25,3,0,12500,Treatment 1,113,114,1,5,5,4,5,1,1,0,0,0,0,1,0,1,0,0
0,0,5,5,2,3,25,4,0,37500,Treatment 2a,75,75,1,4,4,4,4,0,1,0,0,0,0,1,0,0,1,0
1,1,3,4,4,6,25,7,1,37500,Control,116,98,1,4,4,4,4,1,1,1,0,0,0,0,1,0,0,0
1,1,5,5,2,2,25,6,0,12500,Treatment 2a,20,25,1,5,4,5,5,0,0,1,0,0,1,1,0,0,1,0
0,0,4,4,4,4,55,3,0,62500,Treatment 1,125,50,1,3,3,5,5,0,1,0,0,0,0,0,0,1,0,0
0,0,5,4,7,7,25,6,1,87500,Treatment 2b,60,70,1,4,3,5,4,1,1,1,0,1,0,0,0,0,0,1
0,0,5,5,3,3,35,5,1,12500,Treatment 2a,19,0,0,5,5,5,5,1,1,0,0,0,1,1,0,0,1,0
0,1,4,4,7,2,25,6,0,87500,Treatment 2b,79,99,1,4,4,4,4,1,1,1,0,0,0,0,0,0,0,1
1,1,4,4,7,6,25,6,0,62500,Treatment 1,77,93,1,4,4,3,4,1,1,1,0,0,1,0,0,1,0,0
0,0,5,4,6,6,35,3,0,87500,Treatment 2b,75,100,1,4,4,4,4,0,0,0,1,0,1,0,0,0,0,1
1,1,5,5,2,4,35,6,1,87500,Control,45,0,0,5,4,5,4,1,0,1,0,1,1,1,1,0,0,0
0,0,3,3,4,4,65,4,0,37500,Treatment 2a,75,75,1,4,4,4,4,1,0,0,0,1,1,0,0,0,1,0
0,0,5,5,2,3,25,7,0,150000,Treatment 2a,50,75,1,5,5,5,5,1,0,1,0,0,0,1,0,0,1,0
0,0,5,5,4,1,25,3,0,62500,Control,6,5,1,5,4,5,5,0,1,0,0,0,1,0,1,0,0,0
1,1,4,4,7,7,25,6,0,87500,Treatment 2b,70,89,1,1,4,4,4,1,1,1,0,0,0,0,0,0,0,1
0,0,5,5,4,4,35,6,0,112500,Treatment 1,63,62,1,2,2,4,4,0,0,1,0,0,1,1,0,1,0,0
0,1,3,4,1,6,45,6,1,62500,Treatment 2a,52,100,1,5,4,4,5,1,0,1,0,1,0,1,0,0,1,0
0,1,4,4,3,3,35,6,0,112500,Control,30,0,0,2,3,4,4,1,1,1,0,0,1,1,1,0,0,0
1,1,4,4,7,7,35,6,0,12500,Treatment 2b,75,75,1,5,4,5,4,1,0,1,0,1,0,1,0,0,0,1
0,1,5,5,1,2,25,5,0,37500,Treatment 1,5,0,0,2,5,5,5,0,1,0,0,0,0,1,0,1,0,0
1,0,4,3,3,3,25,6,0,62500,Treatment 2a,40,100,1,3,4,5,4,0,0,1,0,0,0,1,0,0,1,0
