exp_flood,exp_disas,prior_cc,prior_slr,pol_party,pol_ideol,age,educ,children,income,t,cost,wtp,purchase,sit_worry,sit_prepare,glob_finan,glob_safe,female,minority,university,unemployed,married,standalone,coastal,t0,t1,t2,t3,pol,cc,sit_w,sit_p,glob_f,glob_s,sit_sum,sit,prem_perceived,prem_actual
0,0,5,5,1,1,35,7,1,87500,Control,35,40,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,-0.0734165833631315,0.973477884601824,-2.71641695298194,-3.54812398134572,-4.40138303480254,-3.95643175531593,2,1,5,-22.5
0,1,3,3,5,6,25,3,0,62500,Treatment 2a,85,85,1,4,4,5,5,0,0,0,0,0,0,0,0,0,1,0,8.92658341663687,-1.2049341648568,0.174669826244958,-0.100554120928827,0.853999693319896,1.04281073906155,8,5,0,22.5
0,1,5,5,7,7,35,7,2,150000,Treatment 1,90,110,1,4,5,5,4,0,0,1,0,1,1,1,0,1,0,0,11.9265834166369,0.973477884601824,0.174669826244958,1.04863583254347,0.853999693319896,-0.206999884532818,9,6,20,47.5
0,0,5,4,5,2,35,7,1,37500,Control,100,100,1,4,5,5,4,1,0,1,0,1,0,1,1,0,0,0,4.92658341663687,0.428874872237167,0.174669826244958,1.04863583254347,0.853999693319896,-0.206999884532818,9,6,0,37.5
0,0,5,5,6,5,25,3,0,37500,Treatment 1,60,63,1,5,5,5,4,0,0,0,0,0,0,0,0,1,0,0,8.92658341663687,0.973477884601824,1.13836541932059,1.04863583254347,0.853999693319896,-0.206999884532818,10,7,3,0.5
0,0,4,4,3,3,35,5,0,12500,Treatment 2a,40,40,1,4,4,5,4,0,0,0,0,0,0,1,0,0,1,0,3.92658341663687,-0.11572814012749,0.174669826244958,-0.100554120928827,0.853999693319896,-0.206999884532818,8,5,0,-22.5
0,0,4,5,1,1,45,3,3,87500,Treatment 2b,50,100,1,5,5,5,5,1,0,0,0,0,1,1,0,0,0,1,-0.0734165833631315,0.428874872237167,1.13836541932059,1.04863583254347,0.853999693319896,1.04281073906155,10,7,50,37.5
1,1,3,3,4,5,35,6,0,62500,Treatment 1,40,70,1,4,5,5,4,0,0,1,0,0,0,1,0,1,0,0,6.92658341663687,-1.2049341648568,0.174669826244958,1.04863583254347,0.853999693319896,-0.206999884532818,9,6,30,7.5
1,1,4,4,2,2,25,3,0,12500,Treatment 1,77,80,1,4,4,4,4,0,1,0,0,0,0,0,0,1,0,0,1.92658341663687,-0.11572814012749,0.174669826244958,-0.100554120928827,-0.459845988710713,-0.206999884532818,8,5,3,17.5
1,1,5,4,4,2,25,6,0,87500,Treatment 1,68,41,1,5,5,4,4,0,0,1,0,0,0,0,0,1,0,0,3.92658341663687,0.428874872237167,1.13836541932059,1.04863583254347,-0.459845988710713,-0.206999884532818,10,7,-27,-21.5
1,1,4,3,2,6,35,6,2,12500,Treatment 2b,73,76,1,4,5,4,3,0,0,1,0,1,0,1,0,0,0,1,5.92658341663687,-0.660331152492146,0.174669826244958,1.04863583254347,-0.459845988710713,-1.45681050812719,9,6,3,13.5
0,0,5,5,6,6,35,6,2,112500,Treatment 2a,125,117,1,5,5,5,5,0,0,1,0,1,1,1,0,0,1,0,9.92658341663687,0.973477884601824,1.13836541932059,1.04863583254347,0.853999693319896,1.04281073906155,10,7,-8,54.5
1,0,5,4,1,6,35,6,2,12500,Treatment 1,83,74,1,3,5,4,4,0,0,1,0,1,0,1,0,1,0,0,4.92658341663687,0.428874872237167,-0.789025766830675,1.04863583254347,-0.459845988710713,-0.206999884532818,8,5,-9,11.5
1,1,4,4,2,4,25,7,3,62500,Treatment 2b,55,74,1,4,2,4,4,1,1,1,0,0,0,0,0,0,0,1,3.92658341663687,-0.11572814012749,0.174669826244958,-2.39893402787342,-0.459845988710713,-0.206999884532818,6,2,19,11.5
0,0,2,4,4,5,25,3,0,37500,Treatment 1,125,125,1,4,4,4,4,1,0,0,0,1,1,1,0,1,0,0,6.92658341663687,-1.2049341648568,0.174669826244958,-0.100554120928827,-0.459845988710713,-0.206999884532818,8,5,0,62.5
